transaction_id,customer_id,bank_id,amount,currency,date,location,is_high_risk,is_valid_bank_id
1,734,20,2059.49,USD,2024-07-01,Helentown,True,True
2,962,234,4228.66,USD,2024-07-22,West Jasonberg,True,True
3,143,598,9223.78,USD,2024-04-27,Brendanberg,True,True
4,760,34,3063.09,USD,2024-05-31,Lake Davidville,False,True
5,175,562,587.11,USD,2024-09-01,East Katherine,False,True
6,252,740,6815.88,USD,2024-04-15,Valerieton,True,True
7,743,95,5402.65,USD,2024-03-12,North Taylorton,False,True
8,884,779,878.54,USD,2024-10-12,Williamsview,False,True
9,54,268,6794.4,USD,2024-08-04,Smithbury,False,True
10,715,1002,1055.99,USD,2024-03-28,Paulchester,True,True
11,339,902,6276.0,USD,2024-08-29,Freemanview,False,True
12,710,567,610.86,USD,2024-03-21,Hannatown,False,True
13,346,898,3929.07,USD,2024-02-06,Joshuamouth,False,True
14,315,510,8734.12,USD,2024-04-17,East Dianatown,True,True
15,835,482,7263.75,USD,2024-02-04,Amychester,True,True
16,659,673,6688.2,USD,2024-08-24,Jenniferton,False,True
17,687,759,9417.45,USD,2024-04-28,South Angelastad,True,True
18,47,934,3910.84,USD,2023-12-26,South Ashley,False,True
19,775,573,2411.67,USD,2024-06-21,West Sheila,True,True
20,638,167,7310.24,USD,2024-02-12,Brownchester,False,True
21,25,434,7610.93,USD,2024-04-19,Port Robertstad,True,True
22,256,360,3059.82,USD,2024-05-27,West Christopher,True,True
23,579,485,5891.62,USD,2024-02-23,Brianburgh,True,True
24,355,18,1707.44,USD,2024-01-28,Port Julie,False,True
25,220,715,7549.93,USD,2024-09-21,South Teresamouth,False,True
26,308,243,7711.75,USD,2024-11-18,West Philipstad,False,True
27,958,465,875.61,USD,2024-02-18,East Ashley,True,True
28,742,686,4510.92,USD,2024-02-26,Shawland,True,True
29,763,412,317.98,USD,2024-09-01,New Teresaburgh,False,True
30,87,50,1529.63,USD,2024-06-21,Port Anthony,True,True
31,142,330,3992.58,USD,2024-04-02,Lake Rebecca,False,True
32,982,561,6043.12,USD,2024-01-18,North Kathyborough,False,True
33,460,471,4787.91,USD,2024-06-21,North Lisabury,True,True
34,599,166,8244.88,USD,2024-05-15,Lake Kim,True,True
35,786,958,9716.82,USD,2024-04-24,West Christine,True,True
36,556,974,1536.46,USD,2024-10-06,Jamesshire,True,True
37,321,704,6578.16,USD,2024-01-16,West Jose,False,True
38,792,534,8929.57,USD,2023-12-10,Dawnberg,False,True
39,987,98,972.24,USD,2024-02-29,Rodgersport,True,True
40,68,270,3178.73,USD,2023-12-11,East Johnview,False,True
41,255,153,6382.82,USD,2024-03-01,Lake Dianaton,True,True
42,876,744,7334.72,USD,2023-12-16,Lake Kennethland,True,True
43,706,51,4871.09,USD,2024-06-30,Littleview,True,True
44,358,465,103.07,USD,2023-11-24,West Christina,False,True
45,719,308,2346.95,USD,2023-11-24,Sawyerhaven,True,True
46,886,803,2446.46,USD,2024-09-09,Tracyburgh,False,True
47,998,626,6332.92,USD,2024-11-01,Jacobside,False,True
48,453,10,5942.18,USD,2024-05-03,Masonville,False,True
49,817,869,5989.25,USD,2024-08-05,Port Dawnmouth,True,True
50,830,232,4156.85,USD,2024-10-03,West Hectorside,True,True
51,185,501,5131.22,USD,2024-01-31,North Brittneychester,False,True
52,513,363,2767.09,USD,2024-03-17,Port Lisa,True,True
53,147,988,9322.58,USD,2023-12-12,Lake Ronaldbury,True,True
54,28,707,375.34,USD,2024-03-11,Crossside,True,True
55,786,885,2108.26,USD,2024-10-25,Hillland,True,True
56,878,530,4374.64,USD,2024-10-08,South Troyview,False,True
57,169,629,7767.43,USD,2024-11-19,West John,True,True
58,853,487,297.33,USD,2024-03-19,North Brian,True,True
59,323,147,4873.85,USD,2024-10-08,South Charles,True,True
60,381,1002,1108.76,USD,2024-02-24,Sherrymouth,False,True
61,806,866,1686.19,USD,2024-10-08,Karenshire,True,True
62,79,537,1885.15,USD,2024-08-16,New Jack,True,True
63,996,749,6192.07,USD,2024-11-19,New Jesse,False,True
64,937,912,270.54,USD,2024-06-11,Port Ian,False,True
65,833,261,8205.8,USD,2024-10-05,West Eric,False,True
66,750,880,9815.99,USD,2023-12-20,East Diana,True,True
67,369,868,179.78,USD,2024-07-10,South Richard,False,True
68,292,240,6766.39,USD,2024-08-11,Port Stephenland,True,True
69,423,582,2330.49,USD,2024-08-08,Coxshire,True,True
70,387,243,7462.16,USD,2024-09-09,Leborough,False,True
71,290,703,6512.11,USD,2024-06-23,Johnfort,False,True
72,107,794,3894.03,USD,2024-01-07,Silvaside,True,True
73,350,431,3514.6,USD,2024-02-21,Alanstad,False,True
74,613,953,9265.02,USD,2023-12-19,New Courtney,True,True
75,268,316,6210.56,USD,2023-12-14,Port Shane,False,True
76,319,330,7633.46,USD,2024-02-10,New Nicholas,True,True
77,642,606,357.36,USD,2024-05-10,Christinaton,True,True
78,678,301,204.06,USD,2024-08-10,Carpenterland,True,True
79,800,92,7900.33,USD,2024-01-12,Tracybury,False,True
80,857,578,862.82,USD,2024-06-07,Jeffreyburgh,False,True
